dep_desc,remarks,cat_flag
BAKUNADOR MEALS,Bulk Order Product,bulk
BIGGS AT HOME,Ready-to-Cook Product,ignore
BIGGS LOYALTY,Promotional Item,promo
BULK ORDER,Bulk Order Product,bulk
EVENT,Bulk Order Product,bulk
HOME CELEBRATION,Promotional Item,promo
KIDS EAT FREE,Promotional Item,promo
MARKETING PROMOS,Promotional Item,promo
MODIFIER,Modifier,ignore
MOM KNOWS BEST,Promotional Item,promo
NANAY'S FAVORITE,Ready-to-Cook Product,ignore
PARTY PACKS,Bulk Order Product,bulk
PREMIUM ITEMS,Merchandise,ignore
REPRESENTATION,Representation,ignore
RND,Corkage Fee,ignore
TEST MARKET,Test Market,ignore
UPGRADES,Upgrade,upgrade
FUNCTION,Bulk Order Product,bulk
