ite_desc,ite_desc_std,cat_flag,status,food_type
 CHEESY CHX,CHEESY CHICKEN,,active,food
1 2 TIPS,1 2 TIPS,bulk,inactive,
1 CRISPY MISCUT,1 CRISPY MISCUT,bulk,inactive,
1 PC CHICKEN CAJUN W TROPICAL SLAW,1 PC CHICKEN CAJUN W TROPICAL SLAW,,inactive,
1CAJCHX SPG PBRD CNC IT,1CAJCHX SPG PBRD CNC IT,,inactive,
1CAJUN MINIBBQ TSMAC,1CAJUN MINIBBQ TSMAC,,inactive,
1CHX CB SPG SOFTD WATER,1CHX CB SPG SOFTD WATER,,inactive,
1CHX SPAG SODA WATER,1CHX SPAG SODA WATER,,inactive,
1PC BIGG CAJUN CHICKEN,BIGGS CAJUN CHICKEN 1PC,,active,food
1PC BIGG CHICKEN,BIGGS CHICKEN 1PC,,active,food
1PC BIGGSCHX PJ,BIGGS CHICKEN 1PC PJ,,active,food
1PC BMP,1PC BMP,,active,food
1PC CHICKEN,BIGGS CHICKEN 1PC,,active,food
1PC CHICKEN CAJUN,BIGGS CAJUN CHICKEN 1PC,,active,food
1PC CHICKEN CORDON,1PC CHICKEN CORDON,,inactive,
1PC CHIX  PJ,BIGGS CHICKEN 1PC PJ,,active,food
1PC CHIX IT,BIGGS CHICKEN 1PC IT,,active,food
1PC CHIX PJ,BIGGS CHICKEN 1PC PJ,,active,food
1PC CRISPY P40,BIGGS CHICKEN 1PC,,active,food
1PC CRISPY SALAD JUICE,1PC CRISPY SALAD JUICE,,inactive,
1PC PORKCHOP,PORK CHOP,,active,food
20%OFFSOCKS,20%OFFSOCKS,ignore,ignore,
2BMI TSHIRT,2BMI TSHIRT,ignore,ignore,
2PC BIGG CAJUN CHICKEN,BIGGS CAJUN CHICKEN 2PC,,active,food
2PC BIGG CHICKEN,BIGGS CHICKEN 2PC,,active,food
2PC BMP,2PC BMP,,active,food
30%OFFSHIRTS,30%OFFSHIRTS,ignore,ignore,
4.4 COOKIES N CREAM SHAKES,COOKIES AND CREAM SHAKE,promo,active,beverage
4LANG BEIG L,4LANG BEIG L,ignore,ignore,
4OTH SHIRT ADULT,4OTH SHIRT ADULT,ignore,ignore,
50%OFF TUNA SALPICAO,TUNA SALPICAO,promo,active,food
7UP,SEVEN UP CAN,,active,beverage
AMERICAN SLAM,AMERICAN SLAM,,active,food
ANNIV BMC,BACON MAC N CHEESE,,active,food
ANNIV SIGCOFI,SIGNATURE ICED COFFEE,,active,beverage
ANNIV SWEETBLK,SWEET BLACK,,active,beverage
ATCHARA,ATCHARA,,active,condiments
ATCHARA TO GRAVY,GRAVY,upgrade,active,condiments
B1T1 CARAMACHI,CARAMEL MACHIATO,promo,active,beverage
B1T1 SIGCOFI,SIGNATURE ICED COFFEE,promo,active,beverage
B1T1 SWTBLK,SWEET BLACK,promo,active,beverage
BABY BACK RIBS,BABY BACK RIBS,,active,food
BACON CHEESY BURGER,BACON CHEESE BURGER,,active,food
BACON MAC AND CHEESE,BACON MAC N CHEESE,,active,food
BACON MAC N CHEESE W CHICKEN,BACON MAC N CHEESE W CHICKEN,,active,food
BAKED BEANS,BAKED BEANS,,inactive,
BB ALMOND BRTL IC,BB ALMOND BRTL IC,,inactive,
BBRIBS  PJ,BABY BACK RIBS PJ,,active,food
BBRIBS PJ,BABY BACK RIBS PJ,,active,food
BCB P99,BACON CHEESE BURGER,promo,active,food
BEEF SALPICAO,BEEF SALPICAO,,active,food
BEEF TAPA,BEEF TAPA,,active,food
BEEF W VEGGIE RICE BOWL,BEEF W VEGGIE RICE BOWL,,inactive,
BERIESCK SIGCOFI,BERIESCK SIGCOFI,,active,food
BERRIES CHEESE CAKE,BERRIES CHEESECAKE,,active,food
BHAT REV HAT BLUE,BHAT REV HAT BLUE,ignore,ignore,
BICOL SPECIAL,BICOL SPECIAL,,active,food
BIG TREAT MACARONI,BT MACARONI,,active,food
BIGG DEAL,BIGG DEAL,,active,food
BIGG PAIR 1,BIGG PAIR 1,,inactive,
BIGG PAIR 2,BIGG PAIR 2,,inactive,
BIGG PAIR 3,BIGG PAIR 3,,inactive,
BIGG PAIR 4,BIGG PAIR 4,,inactive,
BIGGS CAP,BIGGS CAP,ignore,ignore,
BIGGS FRIED CHICKEN,BIGGS FRIED CHICKEN,,inactive,
BIGGS MUG,BIGGS MUG,ignore,ignore,
BIGGS SHIRT,BIGGS SHIRT,ignore,ignore,
BIGGS UMBRELLA,BIGGS UMBRELLA,ignore,ignore,
BLUEBERRY SHAKE,BLUEBERRY SHAKE,,inactive,
BMC CHX,BACON MAC N CHEESE W CHICKEN,,active,food
BMI STKR 2 SETS,BMI STKR 2 SETS,ignore,ignore,
BOTTLED WATER,BOTTLED WATER,,active,beverage
BRAZ COFFEE IC,BRAZ COFFEE IC,,inactive,
